Date,Open,High,Low,Close,Adj Close,Volume
11/18/2016,11.6,11.69,11.35,11.66,11.143119,843200
11/21/2016,11.67,11.99,11.63,11.99,11.459568,385600
11/22/2016,11.99,12.07,11.82,12.07,11.527693,868800
11/23/2016,12.06,12.31,11.84,12.3,11.750985,901600
11/24/2016,12.15,12.25,12.15,12.18,11.632794,80800
11/25/2016,12.2,12.25,11.94,12.18,11.632794,541600
11/28/2016,12.16,12.49,12.16,12.28,11.729487,824000
11/29/2016,12.26,12.87,12.22,12.64,12.080716,840800
11/30/2016,12.76,13,12.72,13,12.421054,1043200
12/1/2016,12.88,12.99,12.56,12.56,12.003037,752000
12/2/2016,12.53,12.54,12.07,12.38,11.823888,960800
12/5/2016,12.53,12.55,12.15,12.23,11.680568,482400
12/6/2016,12.13,12.74,12.08,12.74,12.176167,1020800
12/7/2016,12.81,12.86,12.65,12.79,12.223941,691200
12/8/2016,12.78,13.48,12.78,13.17,12.587018,992000
12/9/2016,13.19,13.41,12.97,13.28,12.683806,563200
12/12/2016,13.24,13.28,12.93,12.94,12.362579,568800
12/13/2016,12.88,13.32,12.88,13.16,12.576317,920000
12/14/2016,13.14,13.5,12.88,12.88,12.302862,894400
12/15/2016,12.95,13.36,12.94,13.27,12.677882,1060800
12/16/2016,13.33,13.5,13.08,13.38,12.779353,644000
12/19/2016,13.31,13.4,13.1,13.1,12.516601,536800
12/20/2016,13.25,13.25,12.71,12.97,12.391242,439200
12/21/2016,13.3,13.3,13.3,13.3,12.710081,866400
12/22/2016,13.37,13.4,13.16,13.22,12.630109,211200
12/23/2016,13.14,13.33,13.14,13.23,12.636033,173600
12/26/2016,13.17,13.27,13.17,13.25,12.65992,88000
12/27/2016,13.25,13.28,13.05,13.11,12.528543,170400
12/28/2016,13.13,13.29,13,13.27,12.675399,251200
12/29/2016,13.37,13.37,13.01,13.27,12.680176,258400
1/2/2017,13.13,13.18,12.71,12.71,12.147504,500800
1/3/2017,12.81,13.04,12.5,12.68,12.110527,400800
1/4/2017,12.63,12.68,11.89,12,11.465588,858400
1/5/2017,12.06,12.41,12.06,12.41,11.859717,863200
1/6/2017,12.41,12.48,12.25,12.33,11.783281,200000
1/9/2017,12.33,12.38,11.77,11.77,11.246977,932800
1/10/2017,11.83,12.25,11.81,12.05,11.514604,624000
1/11/2017,12,12.29,12,12.19,11.644738,898400
1/12/2017,12.35,13.06,12.32,13,12.421054,1288000
1/13/2017,13,13.36,12.9,13.25,12.65992,724000
1/16/2017,13.2,13.2,12.91,12.99,12.410352,595200
1/17/2017,13,13.28,12.91,13.25,12.65992,595200
1/18/2017,13.25,13.37,13.23,13.32,12.725656,325600
1/19/2017,13.32,13.45,13.21,13.43,12.827127,480000
1/20/2017,13.3,15,13.3,14.99,14.320042,2337600
1/23/2017,14.99,15.78,14.53,15.63,14.929151,865600
1/24/2017,15.63,16.31,15.35,16.31,15.578868,1078400
1/26/2017,16.36,16.46,15.75,15.94,15.230122,828800
1/27/2017,15.82,16.04,15.13,15.54,14.8444,412800
1/30/2017,15.62,15.75,14.53,14.58,13.925911,306400
1/31/2017,14.72,16,14.72,16,15.286208,614400
2/1/2017,16.13,16.25,15.06,15.88,15.168017,878400
2/2/2017,15.87,15.93,15.5,15.88,15.168017,1134400
2/3/2017,15.81,16.03,15.66,15.88,15.168017,336000
2/6/2017,15.74,17.37,15.74,17.37,16.600069,777600
2/7/2017,17.5,17.78,17.38,17.5,16.72065,444800
2/8/2017,17.61,17.75,17.06,17.13,16.362349,640800
2/9/2017,17.31,17.31,17.13,17.13,16.362349,265600
2/10/2017,17.16,17.38,17.16,17.29,16.515224,500800
2/13/2017,17.29,19.25,17.29,19,18.153849,740000
2/14/2017,19.21,20.05,18.63,18.69,17.855263,754400
2/15/2017,18.88,19.51,18.75,19.25,18.392714,825600
2/16/2017,19.39,19.6,19.16,19.5,18.63158,828800
2/17/2017,19.5,20.47,19.44,20.44,19.533348,1196800
2/20/2017,21.38,22.13,20.83,22,21.020245,881600
2/21/2017,22.25,23.98,22.01,23.94,22.871458,1444000
2/22/2017,23.94,24.38,23.37,24.21,23.130583,1828800
2/23/2017,24.33,25.64,23.93,25.64,24.493361,1984800
2/24/2017,25.35,27.25,24.4,26.01,24.855291,1243200
3/1/2017,26.54,27.25,26.51,26.88,25.678139,1075200
3/2/2017,26.91,27.03,24.25,24.75,23.647776,1267200
3/3/2017,24.5,25.5,23.6,24.38,23.290623,853600
3/6/2017,24.5,25.38,24.15,24.38,23.291864,424000
3/7/2017,24.5,24.5,22.06,23.14,22.107088,1363200
3/8/2017,23.4,23.4,20.64,22,21.020245,1610400
3/9/2017,21.8,23.43,20.63,23.19,22.153713,1318400
3/10/2017,23.72,23.75,21.36,21.38,20.423077,924000
3/13/2017,21.88,22.13,20.66,21.26,20.31081,720800
3/14/2017,21.23,21.63,20.74,21.63,20.661945,1108000
3/15/2017,21.55,21.96,20.9,21.96,20.983267,560000
3/16/2017,22.25,24.49,22.25,24.49,23.402889,1131200
3/17/2017,24.63,24.63,22.99,22.99,21.963766,789600
3/20/2017,22.99,24.75,22.73,24.44,23.350338,660800
3/21/2017,24.5,24.5,22.76,23,21.97571,856000
3/22/2017,23.05,23.19,22.54,22.8,21.77984,497600
3/23/2017,22.88,23.66,22.86,23.63,22.572876,231200
3/24/2017,23.75,23.75,22.66,22.76,21.748789,489600
3/27/2017,22.42,22.69,22.09,22.69,21.677126,556000
3/28/2017,22.92,22.93,21.94,22.08,21.097828,659200
3/29/2017,22.16,22.6,21.99,22.54,21.539825,375200
3/30/2017,22.38,22.74,22.06,22.63,21.617411,235200
3/31/2017,22.61,23.69,22.14,22.14,21.151621,1147200
4/3/2017,22.31,23.36,22.13,22.87,21.855129,384000
4/4/2017,23,23.5,22.51,22.97,21.950581,485600
4/5/2017,23.11,23.36,22.75,23.35,22.313755,1168800
4/6/2017,23.12,23.5,23.09,23.5,22.453444,340000
4/7/2017,23.23,23.65,23.19,23.44,22.399744,374400
4/10/2017,23.38,23.38,22.75,23.13,22.095144,359200
4/11/2017,23.18,23.41,22.59,23.41,22.370987,548000
4/12/2017,23.09,23.15,22.3,22.43,21.434725,688800
4/13/2017,22.43,22.75,21.13,21.5,20.543657,361600
4/17/2017,21.75,23.72,21.32,23.72,22.662498,708800
4/18/2017,23.25,24.61,23.19,24.61,23.515158,836000
4/19/2017,24.6,26,24.44,25.75,24.603241,761600
4/20/2017,25.75,26.79,25.52,26.78,25.582592,519200
4/24/2017,26.89,28,25.83,26.25,25.080973,1061600
4/25/2017,26.12,26.84,26.12,26.19,25.021257,450400
4/26/2017,26.13,26.64,26.12,26.39,26.236282,280800
4/27/2017,26.5,27.75,26.5,27.75,27.583261,1780000
4/28/2017,27.69,29.6,27.38,27.85,27.683863,1160000
5/2/2017,28.5,28.9,27.75,28.62,28.453081,575200
5/3/2017,28.69,29.12,27.97,28.75,28.579828,583200
5/4/2017,28.5,28.95,28.12,28.38,28.207047,931200
5/5/2017,31.88,34.13,31.5,32.38,32.183372,2134400
5/8/2017,31.75,33.24,30.78,32.88,32.680412,717600
5/9/2017,33,33.99,33,33.9,33.701832,632000
5/10/2017,34.11,35,34.11,35,34.792835,874400
5/11/2017,32.5,34.07,32.5,32.94,32.742542,1593600
5/12/2017,32.94,33.75,32.27,33.13,32.928932,1030400
5/15/2017,33.37,34.06,32.65,34.06,33.860882,1135200
5/16/2017,34.07,35.31,34.07,35.25,35.041355,724800
5/17/2017,35.12,35.25,34.63,35.07,34.859936,799200
5/18/2017,30.87,31.43,28.77,29.38,29.201128,1471200
5/19/2017,31.25,32.5,31.06,31.06,30.878639,1203200
5/22/2017,30.63,30.88,27.62,27.74,27.570835,782400
5/23/2017,28.69,30.66,27.69,30.24,30.057232,851200
5/24/2017,30.5,31.56,30.5,31.21,31.025267,638400
5/25/2017,31.13,31.84,30.63,31.09,30.907169,776800
5/26/2017,31.61,31.88,31.33,31.88,31.686331,511200
5/30/2017,32.31,32.87,32.26,32.5,32.307632,324000
5/31/2017,32.69,33.06,31.29,31.38,31.189291,840800
6/1/2017,31.68,32.25,30.2,30.95,30.769291,616800
6/2/2017,31.38,31.55,29.81,30.19,30.00882,1300800
6/5/2017,30.13,30.31,29.62,29.62,29.448456,760000
6/6/2017,29.51,29.94,28.25,29.63,29.449648,1044000
6/7/2017,29.96,31.25,29.78,31.19,31.001707,875200
6/8/2017,31.19,32.56,30.81,32.15,31.960896,857600
6/9/2017,32.31,32.73,31.39,31.5,31.313551,545600
6/12/2017,31.25,32.1,30.89,31.04,30.85498,675200
6/13/2017,31.29,31.96,30.76,31.96,31.769535,692000
6/14/2017,32.06,32.5,31.79,32.13,31.934851,791200
6/16/2017,32.13,32.38,31.04,32.38,32.183372,805600
6/19/2017,31.9,32.49,31.86,32.13,31.934851,506400
